Steps,Number of cells,Number of cells in RedZone,RedZone cells ratio,MaxCellID,Cumulative Dead Cells,Cumulative Senescent cells,Cumulative time in RedZone,Uniformity Index,Total Number of RedZone Visitors,Cumulative Metastatic cells ,Average speed of all cells,Cumulative G1B cells,L5S Immotile Cells,L5S Dividing Cells,Fragmentation%,Intravasation Rate (%),
2160,30243,2044,0.07,61277,0,0,585496,73,27530,396,22.035,405,6306,1195,14,1.309393909,
2160,34195,2217,0.06,69247,0,208,728392,78,30277,429,18.778,2065,19123,1195,14,1.254569381,
2160,34945,2196,0.06,70859,0,95,767256,82,31459,485,18.665,1794,21392,979,14,1.387895264,
2160,33724,2205,0.07,68353,0,93,716342,78,30116,453,19.251,1757,17497,1193,14,1.343257028,
2160,35291,2248,0.06,71483,0,2,735937,86,31823,451,20.074,1587,18151,1311,14,1.277946219,
2160,28625,1993,0.07,58007,0,0,591889,68,27175,379,21.508,706,8917,1420,14,1.324017467,
2160,32070,2133,0.07,65003,0,0,630801,82,30150,432,23.067,111,7857,1729,14,1.347053321,
2160,33236,2142,0.06,67347,0,84,706168,79,29982,438,19.464,1735,11953,1426,14,1.317848117,
2160,32666,2125,0.07,66159,0,0,645094,79,29258,414,21.27,518,14693,1276,14,1.267372804,
2160,32474,2136,0.07,65783,0,0,645119,82,30885,418,23.181,135,7795,1817,14,1.287183593,
2160,33715,2216,0.07,68367,0,0,697939,82,34727,469,24.301,530,12590,1547,14,1.391072223,
2160,37369,2074,0.06,76247,0,0,729189,93,37452,529,23.006,967,23190,1020,14,1.415611871,
2160,30756,1856,0.06,62821,0,0,559494,78,31732,506,26.354,53,6481,1855,14,1.645207439,
2160,34860,2229,0.06,70695,0,0,701672,89,36587,488,26.093,175,11931,1419,14,1.399885255,
2160,31945,2150,0.07,64819,0,0,654577,83,34602,465,26.528,116,6357,1782,14,1.455626859,
2160,32337,2109,0.07,65561,0,0,640556,85,33904,444,26.581,102,5602,1916,14,1.373040171,
2160,31013,1856,0.06,63401,0,0,564933,79,31667,482,25.72,78,7763,1696,14,1.554186954,
2160,34403,1964,0.06,70221,0,0,628621,86,34064,496,24.768,368,13045,1401,14,1.441734732,
2160,38367,2293,0.06,77845,0,0,818610,96,38333,556,22.507,1404,27957,627,14,1.44916204,
2160,31290,1914,0.06,63949,0,0,587994,85,33324,548,26.879,40,3426,1259,14,1.751358261,
2160,35286,2225,0.06,71553,0,0,698596,90,36023,491,25.54,263,11557,1643,14,1.391486709,
2160,30351,1836,0.06,62055,0,0,565003,78,31854,474,26.445,101,5884,1771,14,1.561727785,
2160,29778,2135,0.07,60391,0,0,616714,78,32301,368,26.525,129,5292,1757,14,1.235811673,
2160,28309,1793,0.06,57905,0,0,537753,79,30817,451,27.581,29,1693,1658,14,1.593132926,
2160,34438,2186,0.06,69805,0,0,661083,84,33882,465,24.649,592,12597,1524,14,1.350252628,
2160,18771,1300,0.07,38545,0,0,349569,55,17630,502,23.583,38,118,810,65,2.674338075,
2160,19613,1397,0.07,40275,0,0,372166,55,18994,525,23.527,28,547,1704,65,2.676796003,
2160,20829,1484,0.07,42747,0,0,407056,58,20672,545,23.381,40,131,919,65,2.616544241,
2160,17425,1243,0.07,35789,0,0,318446,47,16506,470,23.573,25,247,1092,65,2.697274032,
2160,20788,1566,0.08,42693,0,0,426110,59,21547,559,23.484,43,887,1129,65,2.689051376,
2160,27111,1735,0.06,55429,0,0,489087,72,24850,604,22.608,130,2550,1091,65,2.227877983,
2160,15224,1191,0.08,31429,0,0,311051,52,15792,491,23.952,26,39,1251,65,3.225170783,
2160,23215,1541,0.07,47563,0,0,420678,60,21090,567,22.432,200,4230,1446,65,2.442386388,
2160,16444,1191,0.07,33767,0,0,311902,40,15796,440,23.452,22,682,1042,65,2.675747993,
2160,20832,1532,0.07,42767,0,0,409049,63,20919,552,23.68,28,493,1508,65,2.649769585,
2160,24539,1656,0.07,50349,0,0,478444,68,25977,636,25.452,34,1129,1050,65,2.591792657,
2160,11239,935,0.08,23737,0,0,229525,61,12849,630,26.314,10,1,493,65,5.605480915,
2160,11591,948,0.08,24387,0,0,233787,47,13302,603,26.363,12,0,451,65,5.202312139,
2160,6127,573,0.09,13293,0,0,145946,50,7598,520,26.467,7,0,1,65,8.487024645,
2160,8479,748,0.09,18063,0,0,183869,46,9981,553,26.465,10,0,1,65,6.521995518,
2160,17879,1321,0.07,36827,0,0,359593,61,19308,535,26.125,27,42,1360,65,2.992337379,
2160,8164,698,0.09,17523,0,0,175866,61,9490,598,26.24,4,0,1,65,7.324840764,
2160,9913,896,0.09,20993,0,0,214928,51,11869,584,26.384,8,0,1,65,5.891253909,
2160,12018,977,0.08,25305,0,0,242470,48,13739,635,26.384,12,0,1,65,5.283741055,
2160,20834,1552,0.07,42853,0,0,427672,69,23037,593,25.992,28,105,1489,65,2.846308918,
2160,11177,972,0.09,23695,0,0,246834,58,13477,671,26.222,8,4,870,65,6.003399839,
2160,25795,1597,0.06,53149,0,0,441195,71,25905,780,25.211,24,1453,1064,65,3.02384183,
2160,19728,1445,0.07,40617,0,0,394676,68,21505,581,26.344,29,23,958,65,2.945052717,
2160,10601,915,0.09,22517,0,0,233614,58,12799,658,26.359,9,0,452,65,6.206961607,
2160,21661,1568,0.07,44485,0,0,428792,63,22992,582,25.714,49,687,1407,65,2.686856562,
