"x","y",".lumen"
532.072962960228,2464.73773829639,24627
2415.24398494512,2468.84187837131,24721
3371.47845751606,2533.18030009978,25369
136.083874152973,983.691922854632,9807
1174.38761764206,3609.04724025168,36059
1187.64848173596,1113.91896400601,11060
704.37481100671,251.984488591552,2436
931.438255822286,3180.27449934743,31847
2097.65067775734,3575.70103080943,35705
3259.11117810756,273.927000537515,2763
1833.14763321541,1107.7093530912,11092
1257.75437150151,2027.7661062777,20263
3870.17158661038,3167.93889319524,31794
2672.95920369215,1942.96670877375,19534
1977.05150758848,2954.56074872054,29499
1305.29219023883,152.249768795446,1466
561.62471123971,3492.7782503888,34829
155.583571782336,3075.860193884,30608
1318.44880436547,2640.28250891715,26466
3620.32181019895,1893.2569403667,18982
608.207814954221,1337.59131254628,13231
2810.54593916051,482.922356203198,4941
3711.15876622498,562.907498376444,5786
3694.24186022952,1160.79364717007,11785
2928.25341736898,3580.70205026306,35947
3879.4733310584,3680.97071703523,36994
1731.88705891371,2288.33556701429,22887
1737.86220760085,376.321155764163,3687
3149.12767321803,1336.05755274184,13358
2527.86299171858,3871.56075155362,38727
2379.12352699786,1119.99512445182,11119
1528.63410171121,3137.95829373412,31277
197.632509283721,2024.16249061935,20210
2147.75450164452,1787.32867948711,17908
1647.55539763719,1648.85073769838,16483
655.114603275433,847.337313368917,8433
